customer_name,Mar_21,Apr_21,May_21,Jun_21,Jul_21,Aug_21,Sep_21,Oct_21,Nov_21,Dec_21,Jan_22,Feb_22,Mar_22,Apr_22,May_22,Jun_22,Jul_22,Aug_22,Sep_22,Oct_22,Nov_22,Dec_22,Jan_23,Feb_23,Mar_23,Apr_23,May_23,Jun_23,Jul_23,Aug_23,Sep_23,Oct_23,Nov_23,Dec_23,Jan_24,Feb_24,Mar_24,Apr_24,May_24,Jun_24,Jul_24,Aug_24,Sep_24,Oct_24,Feb_20,Mar_20,Apr_20,May_20,Jun_20,Jul_20,Aug_20,Sep_20,Oct_20,Nov_20,Dec_20,Jan_21,Feb_21,Nov_24,Dec_24,Jan_25,Feb_25,Dec_18,Jan_19,Feb_19,Mar_19,Apr_19,May_19,Jun_19,Jul_19,Aug_19,Sep_19,Oct_19,Nov_19,Dec_19,Jan_20,Jun_18,Jul_18,Aug_18,Sep_18,Oct_18,Nov_18,Mar_25,Apr_25,May_25,Jun_25,Jul_25,Aug_25,Sep_25,Oct_25,Nov_25,Dec_25,Jan_26,Feb_26,Mar_26,Apr_26,May_26,Jun_26,Jul_26,Aug_26,Sep_26,Oct_26,Nov_26,Dec_26,Jan_27,Feb_27,Mar_27,Apr_27,May_27,Jun_27,Jul_27,Aug_27,Sep_27,Oct_27,Nov_27,Dec_27,Jan_28,Feb_28,Mar_28,Apr_28,May_28,Jun_28,Jul_28,Aug_28,Sep_28,Oct_28,Nov_28,Dec_28,Jan_29,Feb_29,Mar_29,Apr_29,May_29,Jun_29,Jul_29,Aug_29,Sep_29,Oct_29,Nov_29,Dec_29,Jan_30,Feb_30
"""Alcoa (TN)  Fire Department , City of""",,,,,,3355.2,3355.2,3355.2,3355.2,3355.2,3355.2,3355.2,3355.2,3355.2,3355.2,3355.2,3355.2,3355.2,3355.2,3355.2,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Alexandria (KY) Fire District""",644.1,644.1,644.1,644.1,644.1,644.1,644.1,644.1,644.1,644.1,644.1,644.1,644.1,644.1,644.1,644.1,644.1,644.1,644.1,644.1,644.1,644.1,678.0,678.0,678.0,678.0,678.0,678.0,678.0,678.0,678.0,678.0,678.0,678.0,678.0,678.0,678.0,0.0,0.0,0.0,,,,,678.0,678.0,678.0,678.0,678.0,678.0,678.0,678.0,678.0,678.0,678.0,644.1,644.1,,,,,,,,,,,,,,,,,,678.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Alpine (CA) Fire Protection District""",,,,,,,,,,,,,,,,1378.0,1378.0,1378.0,1378.0,1378.0,1378.0,1378.0,1378.0,1378.0,1378.0,1378.0,1378.0,1419.34,1419.34,1419.34,1419.34,1419.34,1419.34,1419.34,1419.34,1419.34,1419.34,1419.34,1419.34,1419.34,1419.34,1419.34,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Altamahaw-Ossipee (NC) Fire Department""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,718.0,718.0,718.0,718.0,718.0,718.0,718.0,718.0,718.0,718.0,718.0,718.0,718.0,718.0,718.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Altamahaw-Ossipee (NC) Volunteer Fire Department""",776.9999999999999,776.9999999999999,776.9999999999999,776.9999999999999,776.9999999999999,776.9999999999999,776.9999999999999,776.9999999999999,776.9999999999999,776.9999999999999,776.9999999999999,776.9999999999999,776.9999999999999,776.9999999999999,776.9999999999999,776.9999999999999,776.9999999999999,776.9999999999999,776.9999999999999,776.9999999999999,776.9999999999999,776.9999999999999,776.9999999999999,776.9999999999999,776.9999999999999,776.9999999999999,776.9999999999999,776.9999999999999,776.9999999999999,776.9999999999999,776.9999999999999,776.9999999999999,0.0,0.0,0.0,,,,,,,,,,776.9999999999999,776.9999999999999,776.9999999999999,776.9999999999999,776.9999999999999,776.9999999999999,776.9999999999999,776.9999999999999,776.9999999999999,776.9999999999999,776.9999999999999,776.9999999999999,776.9999999999999,,,,,,,,,,,,,776.9999999999999,776.9999999999999,776.9999999999999,776.9999999999999,776.9999999999999,776.9999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Ambulance & Chair Service (PA)""",,,,,,,,,,,,3774.6,3774.6,3774.6,3774.6,3774.6,3774.6,3774.6,3774.6,3774.6,3774.6,3774.6,3774.6,3887.82,3887.82,3887.82,3887.82,3887.82,3887.82,3887.82,3887.82,3887.82,3887.82,3887.82,3887.82,3887.82,3887.82,3887.82,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""American Legion (DE) Ambulance Service64""",,,,,,,,,,,,,,,,,359.4,359.4,359.4,359.4,359.4,359.4,359.4,359.4,359.4,359.4,359.4,729.5799999999999,370.18,370.18,370.18,370.18,370.18,370.18,370.18,370.18,370.18,370.18,370.18,370.18,370.18,370.18,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Anderson (IN) Fire Department""",,,,,,,,,,,,,,,,3355.2,3355.2,3355.2,3355.2,3355.2,3355.2,3355.2,3777.6089403973506,3777.6089403973506,3777.6089403973506,3777.6089403973506,3777.6089403973506,3887.8199999999997,3887.8199999999997,3887.8199999999997,3887.8199999999997,3887.8199999999997,3887.8199999999997,3887.8199999999997,3887.8199999999997,3887.8199999999997,3887.8199999999997,3887.8199999999997,3887.8199999999997,3887.8199999999997,3887.8199999999997,3887.8199999999997,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Anderson Township (OH) Fire Department""",1295.0,1295.0,1295.0,1295.0,1295.0,1295.0,1295.0,1295.0,1295.0,1295.0,1295.0,1295.0,1295.0,1295.0,1295.0,1295.0,1295.0,1295.0,1295.0,1295.0,1295.0,1295.0,1794.9999999999998,1794.9999999999998,1794.9999999999998,1794.9999999999998,1794.9999999999998,1794.9999999999998,1794.9999999999998,1794.9999999999998,1794.9999999999998,1794.9999999999998,1794.9999999999998,1794.9999999999998,1794.9999999999998,1794.9999999999998,1794.9999999999998,0.0,0.0,0.0,,,,,1295.0,1295.0,1295.0,1295.0,1295.0,1295.0,1295.0,1295.0,1295.0,1295.0,1295.0,2590.0,1295.0,,,,,,1295.0,1295.0,1295.0,1295.0,1295.0,1295.0,1295.0,1295.0,1295.0,1295.0,1295.0,1295.0,1295.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Andover (MN) Fire Department""",,,,1677.6,1677.6,1677.6,1677.6,1677.6,1677.6,1677.6,1677.6,1677.6,1677.6,1677.6,1677.6,1677.6,1677.6,1677.6,1677.6,1677.6,1677.6,1677.6,1677.6,1677.6,1677.6,1677.6,1677.6,1727.92,1727.92,1727.92,1727.92,1727.92,1727.92,1727.92,1727.92,1727.92,1727.92,1727.92,1727.92,1727.92,1727.92,1727.92,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Ann Arbor Township (MI) Fire Department""",724.0,724.0,724.0,724.0,724.0,724.0,724.0,724.0,724.0,724.0,724.0,724.0,724.0,724.0,724.0,724.0,724.0,724.0,724.0,724.0,724.0,724.0,724.0,724.0,724.0,724.0,724.0,745.72,745.72,745.72,745.72,745.72,745.72,745.72,745.72,745.72,745.72,745.72,745.72,745.72,745.72,745.72,0.0,0.0,724.0,724.0,724.0,724.0,724.0,724.0,724.0,724.0,724.0,724.0,724.0,724.0,724.0,0.0,,,,724.0,724.0,724.0,724.0,724.0,724.0,724.0,724.0,724.0,724.0,724.0,724.0,724.0,724.0,724.0,724.0,724.0,724.0,724.0,724.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Ansonia (CT) Rescue Medical Services""",399.0,399.0,399.0,399.0,399.0,399.0,419.4,419.4,419.4,419.4,419.4,419.4,419.4,419.4,419.4,419.4,419.4,419.4,419.4,419.4,419.4,419.4,419.4,419.4,419.4,419.4,419.4,419.4,419.4,419.4,419.4,419.4,419.4,419.4,419.4,419.4,419.4,419.4,419.4,419.4,419.4,419.4,419.4,419.4,,,,,,,,399.0,399.0,399.0,399.0,399.0,399.0,419.4,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Apex (NC) Fire Department""",,,,,,,,,,,,,,,,,,,,,669.0,669.0,669.0,669.0,669.0,9785.904255319148,9785.904255319148,9785.904255319148,9785.904255319148,9785.904255319148,9785.904255319148,9785.904255319148,9116.904255319148,9116.904255319148,9116.904255319148,9116.904255319148,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Apexis Inc DBA Wondersign""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,22619.84,22619.84,22619.84,22619.84,22619.84,22619.84,22619.84,22619.84,22619.84,22619.84,22619.84,22619.84,0.0,0.0,,,,22619.84,22619.84,22619.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Ascension Parish (LA) Fire District # 3""",2394.0,2394.0,2394.0,2394.0,2394.0,2394.0,2394.0,2394.0,2394.0,2394.0,2394.0,2394.0,2394.0,2394.0,2394.0,2394.0,2394.0,2394.0,2394.0,2394.0,2394.0,2394.0,2394.0,2394.0,2394.0,2465.82,2465.82,2465.82,2465.82,2465.82,2465.82,2465.82,2465.82,2465.82,2465.82,2465.82,2465.82,2465.82,2465.82,2465.82,0.0,0.0,0.0,,,,2394.0,2394.0,2394.0,2394.0,2394.0,2394.0,2394.0,2394.0,2394.0,2394.0,2394.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Aspen (CO) Fire Department""",,,,,,,,,,,,,,,,,,,,,,,,,4499.0,4499.0,4499.0,4499.0,4499.0,4499.0,4499.0,4499.0,4499.0,4499.0,4499.0,4499.0,4499.0,4499.0,4499.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Auburn (CA) Fire Department""",,,,,,,,,,,,,,,,,,,,,,,,2247.0,2247.0,2247.0,2247.0,2247.0,2247.0,2247.0,2247.0,2247.0,2247.0,2247.0,2247.0,2247.0,2247.0,2247.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Auburn (CA) Police Department""",,,,,,,,,,,,,,,,2716.0,2716.0,2716.0,2716.0,2716.0,2716.0,2716.0,2716.0,2716.0,2716.0,2716.0,2716.0,2797.48,2797.48,2797.48,2797.48,2797.48,2797.48,2797.48,2797.48,2797.48,2797.48,2797.48,2797.48,2797.48,2797.48,2797.48,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Ault-Pierce (CO) Fire Protection District""",399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,0.0,0.0,0.0,,,,,,,,,,399.0,399.0,399.0,399.0,399.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Austin County (TX) ESD No. 2""",,,,479.4,479.4,479.4,479.4,479.4,479.4,479.4,479.4,479.4,479.4,479.4,479.4,479.4,479.4,479.4,0.0,479.4,479.4,479.4,479.4,479.4,479.4,479.4,479.4,479.4,479.4,479.4,479.4,479.4,479.4,479.4,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Avon (OH) Fire Department""",,,,,,,,,,,1773.6,1773.6,1773.6,1773.6,1773.6,1773.6,1773.6,1773.6,1773.6,1773.6,1773.6,1773.6,1773.6,1773.6,1773.6,1826.8,1826.8,1826.8,1826.8,1826.8,1826.8,1826.8,1826.8,1826.8,1826.8,1826.8,1826.8,1826.8,1826.8,1826.8,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Avon (OH) Police Department""",,,,,,,,,,,,,,,,,,,,,,435.05645161290323,435.05645161290323,435.05645161290323,435.05645161290323,435.05645161290323,435.05645161290323,435.05645161290323,435.05645161290323,435.05645161290323,435.05645161290323,435.05645161290323,435.05645161290323,435.05645161290323,435.05645161290323,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Avon (OH) Police Department, City of""",,,,,,,1873.1597222222224,1873.1597222222224,1873.1597222222224,2856.995588483621,2856.995588483621,2856.995588483621,2856.995588483621,2856.995588483621,2856.995588483621,2856.995588483621,2856.995588483621,2856.995588483621,2856.995588483621,2856.995588483621,2660.4,2660.4,2660.4,2660.4,2660.4,2660.4,2660.4,2660.4,2660.4,2660.4,2660.4,2660.4,2660.4,2660.4,2660.4,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Avon Lake (OH) Fire Department""",798.0,798.0,798.0,798.0,798.0,798.0,798.0,798.0,798.0,798.0,798.0,798.0,798.0,798.0,798.0,798.0,798.0,798.0,798.0,798.0,798.0,798.0,821.94,821.94,821.94,821.94,821.94,821.94,821.94,821.94,821.94,821.94,821.94,821.94,821.94,821.94,821.94,0.0,0.0,0.0,,,,,798.0,798.0,798.0,798.0,798.0,798.0,798.0,798.0,798.0,798.0,798.0,798.0,798.0,,,,,,,,,,,,,,,,,,798.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BST&G (OH) Fire District""",,,,,,,479.4,479.4,479.4,479.4,479.4,479.4,479.4,479.4,479.4,479.4,479.4,479.4,479.4,479.4,479.4,479.4,479.4,479.4,479.4,479.4,479.4,479.4,479.4,479.4,479.4,479.4,479.4,479.4,479.4,479.4,479.4,479.4,479.4,479.4,479.4,479.4,479.4,479.4,,,,,,,,,,,,,,479.4,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Bainbridge Township (OH) Fire Department""",941.6050650239562,941.6050650239562,941.6050650239562,941.6050650239562,941.6050650239562,941.6050650239562,941.6050650239562,941.6050650239562,941.6050650239562,941.6050650239562,941.6050650239562,941.6050650239562,941.6050650239562,941.6050650239562,941.6050650239562,941.6050650239562,941.6050650239562,941.6050650239562,941.6050650239562,941.6050650239562,941.6050650239562,941.6050650239562,941.6050650239562,941.6050650239562,941.6050650239562,941.6050650239562,941.6050650239562,941.6050650239562,941.6050650239562,941.6050650239562,941.6050650239562,941.6050650239562,941.6050650239562,941.6050650239562,941.6050650239562,941.6050650239562,941.6050650239562,941.6050650239562,941.6050650239562,941.6050650239562,0.0,0.0,0.0,,357.0,357.0,941.6050650239562,941.6050650239562,941.6050650239562,941.6050650239562,941.6050650239562,941.6050650239562,941.6050650239562,941.6050650239562,941.6050650239562,941.6050650239562,941.6050650239562,,,,,,,,,357.0,357.0,357.0,357.0,357.0,357.0,357.0,357.0,357.0,357.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Ballardsville (KY) Fire & Rescue""",,,,,,,,,,,,,,,,,,,1078.0,1078.0,1078.0,1078.0,1078.0,1078.0,1078.0,1078.0,1078.0,1078.0,1078.0,1078.0,1078.0,1078.0,1078.0,1078.0,1078.0,1078.0,1078.0,1078.0,1078.0,1078.0,1078.0,1078.0,1078.0,1078.0,,,,,,,,,,,,,,1078.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Bartlett (IL) Fire Protection District""",1295.0,1295.0,1295.0,1295.0,1295.0,1295.0,1295.0,1295.0,1295.0,1810.482456140351,1810.482456140351,1810.482456140351,1810.482456140351,1810.482456140351,1810.482456140351,1810.482456140351,1810.482456140351,3108.0,1813.0,1813.0,1813.0,1813.0,1813.0,1813.0,1813.0,1813.0,1813.0,1813.0,1813.0,2588.39,2588.39,2588.39,2588.39,2588.39,2588.39,2588.39,2588.39,2588.39,2588.39,2588.39,2588.39,2588.39,2588.39,2588.39,1295.0,1295.0,1295.0,1295.0,1295.0,1295.0,1295.0,1295.0,1295.0,1295.0,1295.0,1295.0,1295.0,0.0,0.0,0.0,,,,,,,,,,1295.0,1295.0,1295.0,1295.0,1295.0,1295.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Bath Township (MI) Fire Department""",,,,,,,,,,,,,,,,,,,,,,,,,,,1348.0,1348.0,1348.0,1348.0,1348.0,1348.0,1348.0,1348.0,1348.0,1348.0,1348.0,1348.0,1348.0,1348.0,1348.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
